id,region,countryname
1,Africa,Benin
2,Africa,Burkina Faso
3,Africa,Mali
4,Africa,Niger
5,Africa,Ethiopia
6,Africa,Madagascar
7,Africa,Mozambique
8,Africa,Tanzania
9,Africa,Tunisia
10,Asia,Pakistan
11,Asia,Bangladesh
12,Asia,Sri Lanka
13,Asia,Bhutan
14,Asia,Nepal
15,Asia,Laos
16,Asia,Vietnam
17,Asia,Myanmar
18,Asia,Kyrgizstan
19,Asia,Tajikistan
20,Asia,Uzbekistan
21,Eastern Europe,Georgia
22,Africa,Jordan
23,Latin,Guatemala
24,Latin,Haiti
25,Latin,Honduras
26,Latin,Bolivia
27,Latin,Peru
28,Eastern Europe,Albania
29,Eastern Europe,Bosnia-Herzegovina
30,Eastern Europe,Kosovo
31,Eastern Europe,Serbia
32,Eastern Europe,North Macedonia
33,Eastern Europe,Moldova
34,Eastern Europe,Ukraine
35,Eastern Europe,RECONOMY
